nomogram_id,voltage_kv,element_type,total_congestion_cost_index,hours_binding,days_binding,avg_shadow_price,max_shadow_price,primary_cause,cause_is_base_case,months_active,solar_hour_fraction,readable_name,utility,tpp_area,reconductoring_applicable,reconductoring_reason,match_quality,renewable_driven,renewable_type
92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1,230.0,branch,18304.621400000015,305,32,60.02,195.25,SD1 ECONTY-MIGUEL 500_M,False,3,0.659,Syca Tp2-Sycamore 230 kV,SDG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
35618_SN JSE A_115_35616_SNJOSEB _115_BR_1 _1,115.0,branch,16872.639689999996,320,49,52.73,270.75,PG1 LOSEST-METCLF 230,False,5,0.659,San Jose A-Snjoseb 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33315_RAVENSWD_115_38028_PLO ALTO_115_BR_1 _1,115.0,branch,16854.10216999999,265,74,63.6,1691.06,Base Case,True,7,0.592,Ravenswd-Plo Alto 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
35618_SN JSE A_115_35620_EL PATIO_115_BR_1 _1,115.0,branch,16588.76044,267,63,62.13,350.54,PG1 LOSEST-METCLF 230,False,10,0.61,San Jose A-El Patio 115 kV,PG&E,PG&E Greater Bay Area,True,115 kV branch in Bay Area load pocket,known_mapping,True,solar
32214_RIO OSO _115_32244_BRNSWKT2_115_BR_2 _1,115.0,branch,15291.815419999994,444,80,34.44,402.58,PG1 BELL-HIGGNS 115,False,8,0.331,Rio Oso-Brnswkt2 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1,230.0,branch,15119.80288,173,13,87.4,1331.04,PG1 MOSSLD-LOSBNS 500,False,2,0.289,Nwk Dist-Ls Estrs 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1,115.0,branch,14806.276050000015,859,109,17.24,77.89,Base Case,True,8,0.01,Exchequr-Le Grand 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,230.0,branch,13234.693739999995,160,20,82.72,253.44,SD1 BAYBLV-SLVRGT 230,False,5,0.525,Sycamore-Penasquitos 230 kV,SDG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
33724_LOCKEFRD_60.0_33726_VICTOR  _60.0_BR_1 _1,,branch,11965.181199999995,237,59,50.49,354.49,Base Case,True,6,0.392,Lockefrd-Victor 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1,70.0,branch,11870.577680000004,617,96,19.24,65.5,Base Case,True,7,0.776,Snjqjct-Gffnjct 70 kV,Unknown,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1,70.0,branch,11477.43265,746,95,15.39,69.43,Base Case,True,5,0.737,Taft-Q356Tap 70 kV,Unknown,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
35642_METCALF _115_30735_METCALF _230_XF_2,230.0,transformer,11273.210320000006,107,23,105.36,808.04,PG1 METCLF BUS 2D 230,False,5,0.187,Metcalf 230 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,False,load/other
32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1,,branch,10779.220069999998,303,41,35.57,311.44,PG1 PALRMO-COLGAT_M 230,False,3,0.419,Smrtsvle-Yubagold 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1,115.0,branch,10598.59254000001,832,100,12.74,48.64,Base Case,True,6,0.219,Curtiss-Fberbord 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22480_MIRAMAR _69.0_22756_SCRIPPS _69.0_BR_1 _1,69.0,branch,10581.947069999997,140,29,75.59,628.69,Base Case,True,7,0.921,Miramar-Scripps 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22824_SWTWTRTP_69.0_22820_SWEETWTR_69.0_BR_1 _1,69.0,branch,10502.623569999998,82,13,128.08,711.97,SD2 MIGUEL-MSION 1+2 230,False,2,0.854,Swtwtrtp-Sweetwtr 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22420_SILVERGT_69.0_22144_CORONADO_69.0_BR_1 _1,69.0,branch,10398.253589999997,114,26,91.21,1033.24,SD1 STA B-SLVRGT_2 69,False,3,0.825,Silvergt-Coronado 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30472_PEABODY _230_30529_BRDSLDNG_230_BR_1 _1,230.0,branch,10183.452140000003,360,37,28.29,57.99,PG1 VACADX-LMBEPK 230,False,2,0.111,Peabody-Brdsldng 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,66.0,branch,9697.40887000001,523,146,18.54,81.08,Base Case,True,11,0.989,Neenach-Tap 85 66 kV,Unknown,,True,"66 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1,70.0,branch,9690.675220000003,322,94,30.1,187.16,Base Case,True,6,0.146,Mcswainj-Exchequr 70 kV,PG&E,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1,115.0,branch,9656.19495999999,253,32,38.17,133.43,PG1 STANIS-MELONS-MANTEC 115 1,False,3,0.126,Melns Jb-Vlyhmtp1 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
38136_MARBLE  _69.0_64281_MARBLSPP_60.0_XF_1,69.0,transformer,9475.46185,199,52,47.62,501.97,Base Case,True,5,0.04,Marble 69 kV Transformer,Unknown,,False,"Transformer, not a transmission line",parsed,False,load/other
30735_METCALF _230_30042_METCALF _500_XF_13,500.0,transformer,8831.100949999998,276,43,32.0,131.7,PG1 METCLF 500-230 BK11,False,3,0.678,Metcalf 500 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,True,solar
32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1,115.0,branch,8677.698899999996,285,62,30.45,155.32,PG1 BELL-HIGGNS 115,False,7,0.418,Brunswick T1-Dtch2Tap 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
30900_GATES   _230_30889_CAFLTSSS_230_BR_1 _1,230.0,branch,8541.550470000002,509,95,16.78,56.43,Base Case,True,7,0.931,Gates-Cafltsss 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
34158_PANOCHE _115_34350_KAMM    _115_BR_1 _1,115.0,branch,8330.202959999993,611,119,13.63,54.51,PG1 PNOCHE-EXCLSS 115 2_M,False,8,0.871,Panoche-Kamm 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30300_TABLMTN _230_30330_RIO OSO _230_BR_1 _1,230.0,branch,8131.562510000002,280,40,29.04,96.61,PG1 TBLMTN 500-230 BK5,False,2,0.0,Tablmtn-Rio Oso 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1,115.0,branch,7714.2276400000055,619,109,12.46,131.8,PG1 TESLA-SCHLTE_1 115_M,False,9,0.068,Aec Tp2-Tesla 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1,70.0,branch,6793.396120000002,398,96,17.07,70.18,Base Case,True,7,0.897,San Emdo-Old Rivr 70 kV,PG&E,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,500.0,branch,6422.769829999996,611,111,10.51,58.49,SC1 MIDWAY-WHIRWD_1 500,False,11,0.483,Midway-Vincent 500 kV (Path 26),PG&E/SCE,Path 26 Corridor,False,"500 kV, stability-limited",known_mapping,likely,mixed
22192_DOUBLTTP_138_22300_FRIARS  _138_BR_1 _1,138.0,branch,6374.959780000001,23,2,277.17,481.1,SD2 SA-MSSION 230 1+2,False,2,0.696,Doublttp-Friars 138 kV,SDG&E,,True,"138 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1,230.0,branch,6331.02815,276,90,22.94,142.78,Base Case,True,9,0.783,Kramer-Victor 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,500.0,branch,6305.222529999999,374,70,16.86,63.35,PG1 LOSBNS-MIDWAY 500 2,False,10,0.85,Gates-Midway 500 kV (Path 26),PG&E,Path 26 Corridor,False,"500 kV, stability-limited",known_mapping,True,solar
22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1,230.0,branch,6173.698259999999,95,13,64.99,183.46,SD1 ECONTY-MIGUEL 500_M,False,6,0.726,Suncrest-Sunc Tp2 230 kV,SDG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33950_RVRBK TP_115_33934_TULLOCH _115_BR_1 _1,115.0,branch,6141.33006999999,336,66,18.28,80.15,Base Case,True,6,0.384,Rvrbk Tp-Tulloch 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
35107_DUMBARTN_115_35120_NEWARK D_115_BR_1 _1,115.0,branch,5516.985350000002,207,28,26.65,676.83,PG1 EASTSH-SANMAT 230,False,5,0.135,Dumbartn-Newark D 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
31338_KONOCTI6_60.0_31344_EGLE RCK_60.0_BR_1 _1,,branch,5277.475649999999,65,20,81.19,327.76,PG1 EGLRK-SLVR-FLTN 115_M,False,5,0.108,Konocti6-Egle Rck 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33315_RAVENSWD_115_38028_PLO ALTO_115_BR_2 _1,115.0,branch,5148.12587,3,2,1716.04,1821.77,Base Case,True,2,1.0,Ravenswd-Plo Alto 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,230.0,branch,5102.0054900000005,65,13,78.49,228.02,PG1 GATES-MIDWAY 500,False,4,0.831,Gates-Midway 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,230.0,branch,4706.451170000001,119,28,39.55,217.78,SC1 MESAS 500-230 BK2AA,False,7,0.714,Mesa Cal-Lagubell 230 kV,SCE,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33501_FRGTNTP1_115_33500_MELNS JA_115_BR_1 _1,115.0,branch,4628.770109999997,395,29,11.72,77.44,PG1 STANIS-MANTEC 115 2_M,False,5,0.306,Frgtntp1-Melns Ja 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
24801_DEVERS  _500_24804_DEVERS  _230_XF_2 _P,500.0,transformer,4511.018670000001,261,25,17.28,64.84,SC1 SERRAN-VALLEY_1 500,False,3,0.648,Devers 500 kV Transformer,SCE,,False,"Transformer, not a transmission line",parsed,True,solar
24729_INYO    _230_24998_INYO SCE_230_BR_1 _1,230.0,branch,4437.197980000001,55,17,80.68,199.63,Base Case,True,6,0.6,Inyo-Inyo Sce 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
24141_SPRINGVL_230_24304_BIG CRK4_230_BR_1 _1,230.0,branch,4201.32955,159,8,26.42,41.57,SC1 BGCRK3-RECTOR_2 230,False,1,0.252,Springvl-Big Crk4 230 kV,SCE,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34540_HENRITTA_70.0_30881_HENRIETA_230_XF_4,230.0,transformer,4190.638449999998,346,88,12.11,50.0,Base Case,True,8,0.847,Henritta 230 kV Transformer,Unknown,,False,"Transformer, not a transmission line",parsed,True,solar
33378_WTRSHTPA_60.0_33380_JEFFERSN_60.0_BR_1 _1,,branch,4059.3772599999998,57,24,71.22,434.7,PG1 MARTIN-JEFRSN 230,False,5,0.333,Wtrshtpa-Jeffersn 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34100_CHWCHLLA_115_34101_CERTANJ2_115_BR_1 _1,115.0,branch,3866.734620000001,80,21,48.33,215.62,PG1 WILSON-LGRAND 115,False,3,0.0,Chwchlla-Certaneja 2 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1,115.0,branch,3863.9423699999998,120,35,32.2,269.6,PG1 BELL-HIGGNS 115,False,6,0.5,Drum-Brnswkt2 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2,115.0,transformer,3847.4351699999997,104,15,36.99,120.23,PG1 EGLRCK-GYS5X6 115,False,7,0.577,Highland Junction 115 kV Transformer,PG&E,,False,"Transformer, not a transmission line",parsed,likely,mixed
32308_COLGATE _60.0_32313_NRRWS2TP_60.0_BR_2 _1,,branch,3820.0449700000004,42,8,90.95,419.76,PG1 COLGAT-RIOOSO 230_M,False,2,0.19,Colgate-Nrrws2Tp 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
31227_HGHLNDJ2_115_31950_CORTINA _115_BR_1 _1,115.0,branch,3688.2721600000013,245,63,15.05,72.54,PG1 EGLRK-SLVR-FLTN 115_M,False,9,0.294,Hghlndj2-Cortina 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
34214_LOS BANS_70.0_34272_WRGHT PP_70.0_BR_1 _1,70.0,branch,3543.4942199999996,144,40,24.61,126.52,Base Case,True,3,0.694,Los Banos-Wrght Pp 70 kV,Unknown,,True,"70 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
28727_IVANPAH _115_24778_MTN PASS_115_BR_1 _1,115.0,branch,3496.4808,6,1,582.75,988.3,SC1 IVANPA 230-115 BK 3A,False,1,0.833,Ivanpah-Mtn Pass 115 kV,SCE,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22644_PENSQTOS_69.0_22492_MIRAMRTP_69.0_BR_1 _1,69.0,branch,3423.575220000002,197,36,17.38,69.48,SD1 SXCYN-SCRIPS 69,False,6,0.569,Penasquitos-Miramrtp 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
30580_ALTM MDW_230_30625_TESLA D _230_BR_1 _1,230.0,branch,3398.2713499999977,141,38,24.1,176.29,PG1 BRNTWD-KELSO 230,False,4,0.681,Altm Mdw-Tesla D 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
33724_LOCKEFRD_60.0_33736_LODI JCT_60.0_BR_1 _1,,branch,3266.20042,30,6,108.87,306.21,PG1 LOCKFD_INDSTR 60,False,3,0.667,Lockefrd-Lodi Jct 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,69.0,branch,3212.818239999999,123,36,26.12,144.01,SD1 MIGUEL-SALTCK_1 69,False,6,0.415,Otay-Otay Lakes Tap 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
22331_MIRASNTO_69.0_22644_PENSQTOS_69.0_BR_1 _1,69.0,branch,2827.6329299999993,46,14,61.47,354.02,Base Case,True,4,0.87,Mirasnto-Penasquitos 69 kV,Unknown,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,230.0,branch,2827.391930000002,141,17,20.05,80.14,Base Case,True,4,0.248,J.Hinds2-Mirage 230 kV,Unknown,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33394_RALSTTPB_60.0_33378_WTRSHTPA_60.0_BR_1 _1,,branch,2810.333510000001,29,10,96.91,544.38,PG1 MARTIN-JEFRSN 230,False,4,0.828,Ralsttpb-Wtrshtpa 60 kV,PG&E,,True,"60 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
22532_MURRAY  _69.0_22306_GARFIELD_69.0_BR_1 _1,69.0,branch,2778.289430000001,70,10,39.69,191.34,SD1 MIGUEL-JMACHA_1 69,False,4,0.514,Murray-Garfield 69 kV,SDG&E,,True,"69 kV branch, likely thermally limited - reconductoring candidate",parsed,likely,mixed
34752_KERN PWR_115_34797_KERNWTP2_115_BR_1 _1,115.0,branch,2747.7089399999977,133,47,20.66,157.24,PG1 WESTPK LD2 115_M,False,5,0.038,Kern Pwr-Kernwtp2 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
25201_LEWIS   _230_24137_SERRANO _230_BR_1 _1,230.0,branch,2724.30328,49,5,55.6,115.26,SC1 LEWIS-SERRAN_2 230,False,2,0.633,Lewis-Serrano 230 kV,SCE,SCE Northern,True,230 kV branch in SCE service territory,known_mapping,True,solar
24084_LITEHIPE_230_24091_MESA CAL_230_BR_1 _1,230.0,branch,2686.97857,25,4,107.48,510.84,SC1 LAFRES-LAGBEL_1 230,False,2,0.84,Litehipe-Mesa Cal 230 kV,SCE,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,500.0,branch,2661.8649600000003,88,23,30.25,102.42,Base Case,True,5,0.909,Los Banos-Gates 500 kV,PG&E,,False,"500 kV line - likely stability-limited, reconductoring won't increase capacity",parsed,True,solar
31990_DAVIS   _115_31962_WDLND_BM_115_BR_1 _1,115.0,branch,2568.760070000001,32,10,80.27,429.44,PG1 RIOOSO BUS 1 230_M,False,1,0.0,Davis-Wdlnd Bm 115 kV,PG&E,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
22357_IV PFC1 _230_22358_IV PFC  _230_PS_1,230.0,branch,2512.1785199999995,25,10,100.49,415.5,SD1 IVALLY PST2 230,False,6,0.72,22357_IV PFC1 _230_22358_IV PFC  _230_PS_1,SDG&E,,False,"Nomogram (multi-element constraint), not a physical line",nomogram,True,solar
30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,230.0,branch,2495.6597300000003,42,13,59.42,192.91,PG1 MCCALL-MSTANS 230,False,1,0.0,Hentap1-Mustangs 230 kV,PG&E,,True,"230 kV branch, likely thermally limited - reconductoring candidate",parsed,False,load/other
33916_CURTISS _115_33920_RCTRK J._115_BR_1 _1,115.0,branch,2495.2743100000002,309,59,8.08,33.6,Base Case,True,5,0.612,Curtiss-Rctrk J. 115 kV,Unknown,,True,"115 kV branch, likely thermally limited - reconductoring candidate",parsed,True,solar
